DEVICE for GetTuyaValue TOOL   (EXAMPLE!)

HOME, ROOM, TIPO,  CATEGORIA, NOME
ROMA, tools, x-device, x-dev, Devices BattTest2;
ROMA, none, x-device, x-dev, frigoData;
ROMA, tools, virtuale, kg, blink-proxy;
ROMA, none, Zigbee or BLE, zwjcy, SGS01;
ROMA, none, Zigbee or BLE, tdq, STARTUP;
ROMA, Balconi, WiFi, sj, Water leak sensor 2;
ROMA, none, Zigbee or BLE, wg2, BLE MESH（SIG）Gateway;
ROMA, Stanza da letto, Zigbee or BLE, wk, Termo letto;
ROMA, Sala da pranzo, Zigbee or BLE, wsdcg, Temperatura soggiorno;
ROMA, Balconi, WiFi, tdq, Watering timer;
ROMA, none, WiFi, tgkg, Dimmer Switch;
ROMA, none, Zigbee or BLE, zwjcy, HC010-2;
ROMA, none, WiFi, cz, 炬为电能表(DT20HBW);
ROMA, none, virtuale, qn, HeatingThermostat-vdevo;
ROMA, tools, virtuale, kg, OUT2-vdevo;
ROMA, Salone, Zigbee or BLE, wk, Termo soggiorno;
ROMA, none, Zigbee or BLE, wsdcg, Temperatura studio;
ROMA, none, Zigbee or BLE, kg, TY-08Z;
ROMA, none, Zigbee or BLE, wxkg, Start_button;
ROMA, Cucina, WiFi, wsdcg, TF_freezer;
ROMA, none, Zigbee or BLE, pir, Motion Sensor;
ROMA, Studio, Zigbee or BLE, wk, Termo studio;
ROMA, Balconi, WiFi, sgbj, Sirena;
ROMA, tools, virtuale, jtmspro, Basic WFZIG Panel-vdevo;
ROMA, Stanza da letto, WiFi, jsq, umidificatore;
ROMA, Stanza da letto, Zigbee or BLE, wsdcg, Temperatura letto;
ROMA, Cucina, WiFi, wsdcg, TF_frigo;
ROMA, Balconi, WiFi, kg, Watering main;
ROMA, Cucina, WiFi, ywbj, Smoke Detector;
ROMA, Studio, WiFi, tdq, USBswitch;
ROMA, none, virtuale, jtmspro, Basic WFZIG Panel-vdevo;
ROMA, Studio, WiFi, wg2, Zigbee Gateway;
ROMA, none, WiFi, tgkg, Smart dimmer switch;
ROMA, none, Zigbee or BLE, wsdcg, esterna;
ROMA, Salone, WiFi, mc, Sensore porta;
ROMA, none, WiFi, wsdcg, Temperature Humidity Sensor 2;
ROMA, none, WiFi, kg, SWITCH;
HOME, ROOM, TIPO,  CATEGORIA, NOME
CIRCEO, none, virtuale, tdq, WIFI+BLE.CBU（翘板开）-vdevo;
CIRCEO, none, WiFi, wsdcg, Temperature and humidity alarm;
CIRCEO, none, Zigbee or BLE, infrared_ac, Air;
CIRCEO, none, WiFi, wnykq, IR hub;
CIRCEO, Stanza da letto 1°, Zigbee or BLE, mcs, finestraletto;
CIRCEO, Corridoio, Zigbee or BLE, wsdcg, Temperatura corridoio;
CIRCEO, none, WiFi, cz, Wifi Plug;
CIRCEO, Salone, Zigbee or BLE, wsdcg, Temperatura salone;
CIRCEO, none, WiFi, cz, PC stand;
CIRCEO, Giardino, WiFi, kg, giardino laterale;
CIRCEO, Salone, WiFi, mcs, Portone;
CIRCEO, none, WiFi, tdq, MK6;
CIRCEO, none, WiFi, cz, socketD;
CIRCEO, Giardino, Zigbee or BLE, ggq, 智能水阀;
CIRCEO, Giardino, Zigbee or BLE, wsdcg, Temperature Humidity External;
CIRCEO, Salone, WiFi, kg, Luce esterna;
CIRCEO, Salone, Zigbee or BLE, zwjcy, piante grasse ;
CIRCEO, Giardino, WiFi, sp, smart camera;
CIRCEO, Salone, Zigbee or BLE, mcs, portafinestra;
CIRCEO, none, Zigbee or BLE, wxkg, Watering remote 3 gang;
CIRCEO, none, Zigbee or BLE, wg2, Bluetooth ZigBee hub;
CIRCEO, Salone, Zigbee or BLE, wg2, GW018-DM;
CIRCEO, none, Zigbee or BLE, cz, 【通用接入】1路插座 3;
CIRCEO, Salone, Zigbee or BLE, cz, 【通用接入】1路插座;
CIRCEO, Bagno 1°, WiFi, tdq, hot water;
CIRCEO, none, WiFi, cz, socketA;
CIRCEO, none, WiFi, cz, socketE;
CIRCEO, Cucina, WiFi, tdq, plugZ kitchen;
CIRCEO, Stanza da letto 2°, Zigbee or BLE, wsdcg, Temperatura Ospiti;
CIRCEO, Stanza da letto 1°, Zigbee or BLE, wsdcg, Temperatura Letto;
CIRCEO, Giardino, WiFi, kg, giardino anteriore;
CIRCEO, none, WiFi, dlq, Main AC;
CIRCEO, none, WiFi, znnbq, Smart Inverter Plug-and-Play;
CIRCEO, Stanza da letto 2°, Zigbee or BLE, mcs, finestraospiti;
HOME, ROOM, TIPO,  CATEGORIA, NOME
HOME, ROOM, TIPO,  CATEGORIA, NOME
ADMIN, System, x-device, x-dev, Device list;
ADMIN, tools, x-device, x-dev, Explore devices;
ADMIN, tools, x-device, x-dev, Explore Scene;
ADMIN, tools, x-device, x-dev, Batteries test;
ADMIN, Test, x-device, x-dev, BatteryTest;
ADMIN, Test, x-device, x-dev, Lanalyzer;
