DEVICE for SetTuyaValue TOOL 

HOME, ROOM, TIPO,  NOME,  ATTRIBUTO;
ROMA, tools, x-device, Devices BattTest2, home;
ROMA, tools, x-device, Devices BattTest2, tested;
ROMA, tools, x-device, Devices BattTest2, low;
ROMA, tools, x-device, Devices BattTest2, low1;
ROMA, tools, x-device, Devices BattTest2, low2;
ROMA, tools, x-device, Devices BattTest2, low3;
ROMA, tools, x-device, Devices BattTest2, low4;
ROMA, tools, x-device, Devices BattTest2, low5;
ROMA, tools, x-device, Devices BattTest2, low6;
ROMA, tools, x-device, Devices BattTest2, low7;
ROMA, tools, x-device, Devices BattTest2, low8;
ROMA, tools, x-device, Devices BattTest2, <b>batteries;
ROMA, tools, x-device, Devices BattTest2, <i>1:alcalina_AAA;
ROMA, tools, x-device, Devices BattTest2, <i>4:litio_cr2032;
ROMA, tools, x-device, Devices BattTest2, <i>6:unknown;
ROMA, none, x-device, frigoData, scr_temperature;
HOME, ROOM, TIPO,  NOME,  ATTRIBUTO;
HOME, ROOM, TIPO,  NOME,  ATTRIBUTO;
HOME, ROOM, TIPO,  NOME,  ATTRIBUTO;
ADMIN, System, x-device, Device list, home;
ADMIN, System, x-device, Device list, mode;
ADMIN, System, x-device, Device list, count;
ADMIN, System, x-device, Device list, <b>cz;
ADMIN, System, x-device, Device list, ---- 01;
ADMIN, System, x-device, Device list, <b>jsq;
ADMIN, System, x-device, Device list, ---- 02;
ADMIN, System, x-device, Device list, <b>jtmspro;
ADMIN, System, x-device, Device list, ---- 03;
ADMIN, System, x-device, Device list, ---- 04;
ADMIN, System, x-device, Device list, <b>kg;
ADMIN, System, x-device, Device list, ---- 05;
ADMIN, System, x-device, Device list, ---- 06;
ADMIN, System, x-device, Device list, ---- 07;
ADMIN, System, x-device, Device list, ---- 08;
ADMIN, System, x-device, Device list, ---- 09;
ADMIN, System, x-device, Device list, <b>mc;
ADMIN, System, x-device, Device list, ---- 10;
ADMIN, System, x-device, Device list, <b>pir;
ADMIN, System, x-device, Device list, ---- 11;
ADMIN, System, x-device, Device list, <b>qn;
ADMIN, System, x-device, Device list, ---- 12;
ADMIN, System, x-device, Device list, <b>sgbj;
ADMIN, System, x-device, Device list, ---- 13;
ADMIN, System, x-device, Device list, <b>sj;
ADMIN, System, x-device, Device list, ---- 14;
ADMIN, System, x-device, Device list, <b>tdq;
ADMIN, System, x-device, Device list, ---- 15;
ADMIN, System, x-device, Device list, ---- 16;
ADMIN, System, x-device, Device list, ---- 17;
ADMIN, System, x-device, Device list, <b>tgkg;
ADMIN, System, x-device, Device list, ---- 18;
ADMIN, System, x-device, Device list, ---- 19;
ADMIN, System, x-device, Device list, <b>wg2;
ADMIN, System, x-device, Device list, ---- 20;
ADMIN, System, x-device, Device list, ---- 21;
ADMIN, System, x-device, Device list, <b>wk;
ADMIN, System, x-device, Device list, ---- 22;
ADMIN, System, x-device, Device list, ---- 23;
ADMIN, System, x-device, Device list, ---- 24;
ADMIN, System, x-device, Device list, <b>wsdcg;
ADMIN, System, x-device, Device list, ---- 25;
ADMIN, System, x-device, Device list, ---- 26;
ADMIN, System, x-device, Device list, ---- 27;
ADMIN, System, x-device, Device list, ---- 28;
ADMIN, System, x-device, Device list, ---- 29;
ADMIN, System, x-device, Device list, ---- 30;
ADMIN, System, x-device, Device list, ---- 31;
ADMIN, System, x-device, Device list, <b>wxkg;
ADMIN, System, x-device, Device list, ---- 32;
ADMIN, System, x-device, Device list, <b>x-dev;
ADMIN, System, x-device, Device list, ---- 33;
ADMIN, System, x-device, Device list, ---- 34;
ADMIN, System, x-device, Device list, <b>ywbj;
ADMIN, System, x-device, Device list, ---- 35;
ADMIN, System, x-device, Device list, <b>zwjcy;
ADMIN, System, x-device, Device list, ---- 36;
ADMIN, System, x-device, Device list, ---- 37;
ADMIN, tools, x-device, Explore devices, device;
ADMIN, tools, x-device, Explore devices, action;
ADMIN, tools, x-device, Explore Scene, home;
ADMIN, tools, x-device, Explore Scene, action;
ADMIN, tools, x-device, Batteries test, home;
ADMIN, tools, x-device, Batteries test, low level;
ADMIN, tools, x-device, Batteries test, count;
ADMIN, tools, x-device, Batteries test, low01;
ADMIN, tools, x-device, Batteries test, low02;
ADMIN, tools, x-device, Batteries test, low03;
ADMIN, tools, x-device, Batteries test, low04;
ADMIN, tools, x-device, Batteries test, low05;
ADMIN, tools, x-device, Batteries test, low06;
ADMIN, tools, x-device, Batteries test, low07;
ADMIN, tools, x-device, Batteries test, low08;
ADMIN, Test, x-device, BatteryTest, step;
ADMIN, Test, x-device, BatteryTest, time;
ADMIN, Test, x-device, BatteryTest, tensione;
ADMIN, Test, x-device, BatteryTest, smoot;
ADMIN, Test, x-device, BatteryTest, charge;
ADMIN, Test, x-device, BatteryTest, <i>setup;
ADMIN, Test, x-device, BatteryTest, mcoeff;
ADMIN, Test, x-device, BatteryTest, qcoeff;
ADMIN, Test, x-device, Lanalyzer, action;
ADMIN, Test, x-device, Lanalyzer, labels;
ADMIN, Test, x-device, Lanalyzer, A;
ADMIN, Test, x-device, Lanalyzer, B;
ADMIN, Test, x-device, Lanalyzer, C;
ADMIN, Test, x-device, Lanalyzer, D;
ADMIN, Test, x-device, Lanalyzer, E;
